;Сетка для фиксации багажа;Навигационная система с картографией HERE Maps*;Комбинация натуральной и искусственной кожи в отделке сидений и дверей;Подогрев руля;Глубокая тонировка задних стекол;Глубокая тонировка задних стекол;Передние противотуманные фары;Полноразмерное запасное колесо с легкосплавным диском;Электропривод складывания зеркал
;Лёгкая тонировка стекол;Отделка сидений, дверных панелей, передней и центральной консоли кожей Наппа;"Аудиосистема с цветным TFT дисплеем 5"" (Радио, СD/MP3, эквалайзер, 6 динамиков, Bluetooth)";Сетка для фиксации багажа;Комбинация натуральной и искусственной кожи в отделке сидений и дверей;Комбинация натуральной и искусственной кожи в отделке сидений и дверей;Лёгкая тонировка стекол;Брызговики;Датчик света
;Шумоизоляция капота;Отделка стоек крыши и потолка замшей;Камера заднего вида;Автоматический режим опускания стекла водителя;"Аудиосистема с цветным TFT дисплеем 5"" (Радио, СD/MP3, эквалайзер, 6 динамиков, Bluetooth)";"Аудиосистема с цветным TFT дисплеем 5"" (Радио, СD/MP3, эквалайзер, 6 динамиков, Bluetooth)";Кожаная отделка руля и рукоятки коробки передач ; Устройство вызова экстренных оперативных служб Эра-Глонасс;Задние датчики парковки
;Аудиосистема (Радио/CD/MP3) с 6 динамиками;Отделка руля и рукоятки КПП кожей;Ксеноновые фары ближнего света с омывателем и автокорректором;Выбор режима движения (Drive mode select) ;Камера заднего вида;Камера заднего вида;Шумоизоляция капота;Подогрев задних сидений;Передние датчики парковки
;Передние боковые подушки безопасности + шторки безопасности;Отделка салона натуральным  деревом и алюминиевыми деталями;Светодиодные задние фонари;"Легкосплавные диски 16"" с шинами 205/55 R16";Ксеноновые фары ближнего света с омывателем и автокорректором;Ксеноновые фары ближнего света с омывателем и автокорректором;"Стальные диски 15"" с шинами 195/65 R15";Электропривод складывания зеркал;Подогрев руля
;Двухзонный климат-контроль;Шторка заднего стекла с электроприводом;Электрорегулировка сиденья водителя в 12 направлениях;Полноразмерное запасное колесо с легкосплавным диском;Светодиодные задние фонари;Светодиодные задние фонари;Временное запасное колесо со стальным диском;Датчик света;Глубокая тонировка задних стекол
;Система антизапотевания;Боковые шторки на задних окнах с электроприводом;Подсветка околодверного пространства;"Панель приборов Supervision с TFT экраном 4.2""";Электрорегулировка сиденья водителя в 12 направлениях;Электрорегулировка сиденья водителя в 12 направлениях;Кондиционер;Задние датчики парковки;Комбинация натуральной и искусственной кожи в отделке сидений и дверей
;"Легкосплавные диски 16"" с шинами 205/55 R16";Выбор цвета салона (черный, бежевый, темно-синий с бежевым, серый);Система мониторинга слепых зон;Тонированные задние боковые и стекло задней двери;Подсветка околодверного пространства;Подсветка околодверного пространства;Передние дневные ходовые огни;Подогрев руля;"Аудиосистема с цветным TFT дисплеем 5"" (Радио, СD/MP3, эквалайзер, 6 динамиков, Bluetooth)"
;Полноразмерное запасное колесо с легкосплавным диском;Текстильные коврики в салоне;Теплозащитные стекла (лобовое и передние боковые);Электропривод складывания наружных зеркал;Система мониторинга слепых зон;Система мониторинга слепых зон;Аудиосистема (Радио/CD/MP3) с 4 динамиками;Глубокая тонировка задних стекол;Камера заднего вида
;Автоматический режим опускания стекла водителя;Выбор оттенка подсветки интерьера;"Легкосплавные диски 18"" с шинами 235/60 R18";Повторители сигналов поворота в боковых зеркалах;Теплозащитные стекла (лобовое и передние боковые);Теплозащитные стекла (лобовое и передние боковые);;Комбинация натуральной и искусственной кожи в отделке сидений и дверей;Ксеноновые фары ближнего света с омывателем и автокорректором
;Подогрев задних сидений;Остекление с дополнительной шумоизоляцией и фильтром ультрафиолетовых лучей;Самозатемняющееся зеркало заднего вида с компасом;Безопасные доводчики всех стекол;"Легкосплавные диски 18"" с шинами 235/60 R18";"Легкосплавные диски 18"" с шинами 235/60 R18";Сигнализация с автозапуском;"Аудиосистема с цветным TFT дисплеем 5"" (Радио, СD/MP3, эквалайзер, 6 динамиков, Bluetooth)";Светодиодные задние фонари
;Датчики парковки сзади;Зеркальца с подсветкой для задних пассажиров;Передние датчики парковки;Аудиосистема с сенсорным дисплеем 5.0 дюймов (Радио/MP3) с 6 динамиками;Самозатемняющееся зеркало заднего вида с компасом;Самозатемняющееся зеркало заднего вида с компасом;Тонировка;Камера заднего вида;Электрорегулировка сиденья водителя в 12 направлениях
;Датчик дождя;Дополнительный бокс под полом багажного отсека, крючки и сетка ;Рейлинги на крыше ;Камера заднего вида;Передние датчики парковки;Передние датчики парковки;Защита ДВС;;Подсветка околодверного пространства
;Подогрев задних сидений;"Легкосплавные диски 19"" с шинами Continental 245/45 R19";"Система ""Smart key"" — доступ без ключа+кнопка START/STOP + сигнализация*";Каскадная решетка радиатора;Рейлинги на крыше ;Рейлинги на крыше ;Коврики салона;Пороги;Система мониторинга слепых зон
;Молдинги на дверях покрытые хромом;Запасное колесо для временного пользования (легкосплавный диск);Панель приборов Supervision с цветным TFT-дисплеем;EPB (электронный стояночный тормоз с режимом автоматического удержания);"Система ""Smart key"" — доступ без ключа+кнопка START/STOP + сигнализация*";"Система ""Smart key"" — доступ без ключа+кнопка START/STOP + сигнализация*";;Тонировка;Теплозащитные стекла (лобовое и передние боковые)
;Карман в спинке переднего пассажирского сидения;Передние фары с ксеноновыми лампами с автокорректором, поворотным светом и омывателем;Коленная подушка безопасности водителя;Воздуховоды для задних пассажиров в центральной консоли;Панель приборов Supervision с цветным TFT-дисплеем;Панель приборов Supervision с цветным TFT-дисплеем;;Защита ДВС;"Легкосплавные диски 18"" с шинами 235/60 R18"
;Переносная пепельница и прикуриватель;Переносная пепельница и прикуриватель;Система отслеживания линий разметки;"Система ""Smart key"" — доступ без ключа+кнопка START/STOP";Коленная подушка безопасности водителя;Коленная подушка безопасности водителя;;Коврики салона и багажника;Самозатемняющееся зеркало заднего вида с компасом
;Дополнительное оборудование;Дополнительное оборудование;EPB (электронный стояночный тормоз с режимом автоматического удержания);Комбинированная отделка сидений;Система отслеживания линий разметки;Система отслеживания линий разметки;;;Рейлинги на крыше 
